,sentence,pos_tags,chunk_id,chunk_type
18,आज खुद के रचे चक्रव्यूह में फंस गये ।,NN PRP PSP VM NN PSP VM VAUX SYM,NP NP2 NP2 VGNF NP3 NP3 VGF VGF BLK,head head child head head child head child head
19,आंसू से रोटी गीली कर रहे हो ।,NN PSP NN JJ VM VAUX VAUX SYM,NP NP NP2 JJP VGF VGF VGF BLK,head child head head head child child head
20,भईया उधार की ममता में बर्बादी के बीज क्यों बो दिये ।,NN NN PSP NN PSP NN PSP NN WQ VM VAUX SYM,NP NP2 NP2 NP3 NP3 NP4 NP4 NP5 RBP VGF VGF BLK,head head child head child head child head head head child head
21,आज दर - दर की ठोकरें खा रहे हो ।,NN NN SYM RDP PSP NN VM VAUX VAUX SYM,NP NP2 NP2 NP2 NP2 NP3 VGF VGF VGF BLK,head head child child child head head child child head
22,मुझे मालूम हो गया है जिस भाई अधीरनरायन की चौखट को उखाड़ फेंकने की सौगन्ध खा कर गये थे उस चौखट की छांव में तुम खुशी से तो नहीं आये होगे ।,PRP JJ VM VAUX VAUX DEM NN NNP PSP NN PSP VM VAUX PSP NN VM VAUX VM VAUX DEM NN PSP NN PSP PRP NN PSP RP NEG VM VAUX SYM,NP JJP VGF VGF VGF NP2 NP2 NP3 NP3 NP4 NP4 VGNN VGNN VGNN NP5 VGNF VGNF VGF2 VGF2 NP6 NP6 NP6 NP7 NP7 NP8 NP9 NP9 NP9 VGF3 VGF3 VGF3 BLK,head head head child child child head head child head child head child child head head child head child child head child head child head head child child child head child head
23,भीखनरायन - हां धूलीचन्द अब यही दरवाजा खुला है बाकी तो बन्द हो चुके हैं ।,NNP SYM INJ NNP PRP DEM NN VM VAUX JJ RP JJ VM VAUX VAUX SYM,NP BLK BLK2 NP2 NP3 NP4 NP4 VGF VGF JJP JJP JJP2 VGF2 VGF2 VGF2 BLK3,head head head head head child head head child head child head head child child head
24,सौतेले दमाद प्रभु ने तो मेरे रिटायरमेण्ट की रकम अंगूठा लगवाकर हड़प ली ।,JJ NN NNP PSP RP PRP NN PSP NN NN VM VM VAUX SYM,NP NP NP2 NP2 NP2 NP3 NP4 NP4 NP5 NP6 VGNF VGF VGF BLK,child head head child child head head child head head head head child head
25,थाने में गुहार लगाया पर कोई सुनवाई अभी तक नहीं हुई ।,NN PSP NN VM CC PRP NN PRP RP NEG VM SYM,NP NP NP2 VGF CCP NP3 NP3 NP4 NP4 VGF2 VGF2 BLK,head child head head head child head head child child head head
26,सगे बेटी दमाद के लिये भी छूछा हो गया हूं ।,JJ NNC NN PSP PSP RP JJ VM VAUX VAUX SYM,NP NP NP NP NP NP JJP VGF VGF VGF BLK,child child head child child child head head child child head
27,कहते हैं न छूछा को कौन पूछा ।,VM VAUX RP NN PSP WQ VM SYM,VGF VGF VGF NP NP NP2 VGF2 BLK,head child child head child head head head
28,धूलीचन्द - सबसे ज्यादा प्रिय तो तुम्हारा प्रभुवा दमाद था ।,NNP SYM INTF QF JJ RP PRP NNP NN VM SYM,NP BLK JJP JJP JJP JJP NP2 NP3 NP3 VGF BLK2,head head child child head child head child head head head
29,वही धोखेबाज निकला ।,PRP JJ VM SYM,NP JJP VGF BLK,head head head head
30,सदर तहसील में सी. आर. ओ. होकर भी ऐसी नीचता कर गया ।,NNC NN PSP NNC NNC NN VM RP DEM NN VM VAUX SYM,NP NP NP NP2 NP2 NP2 VGNF VGNF NP3 NP3 VGF VGF BLK,child head child child child head head child child head head child head
31,दगाबाज प्रभु ने तो अंधे की लाठी ही तोड़ दी ।,JJ NNP PSP RP NN PSP NN RP VM VAUX SYM,NP NP NP NP NP2 NP2 NP3 NP3 VGF VGF BLK,child head child child head child head child head child head
32,भईया दुनिया में सब तुम्हारे बेटी दमाद जैसे ही लोग नहीं होते ।,NN NN PSP QF PRP NNC NN PSP RP NN NEG VM SYM,NP NP2 NP2 NP3 NP4 NP5 NP5 NP5 NP5 NP6 VGF VGF BLK,head head child head head child head child child head child head head
33,लोग छूछे को भी पूछते हैं तभी तो यहां बैठे हो ।,NN NN PSP RP VM VAUX PRP RP PRP VM VAUX SYM,NP NP2 NP2 NP2 VGF VGF NP3 NP3 NP4 VGF2 VGF2 BLK,head head child child head child head child head head child head
34,सब माया के पीछे नहीं भागते ।,PRP NN PSP NST NEG VM SYM,NP NP2 NP2 NP2 VGF VGF BLK,head head child child child head head
35,सन्तोष बहुत बड़ा सुख है ।,NN INTF JJ NN VM SYM,NP NP2 NP2 NP2 VGF BLK,head child child head head head
36,उसी सन्तोष का फल अधीरनरायन भईया को मिल रहा है ।,DEM NN PSP NN NNP NN PSP VM VAUX VAUX SYM,NP NP NP NP2 NP3 NP3 NP3 VGF VGF VGF BLK,child head child head child head child head child child head
37,तुम तो जानते हो तुम्हारे फेंक देने के बाद कितनी मुसीबतें अधीरनरायन भईया के ऊपर आयी ।,PRP RP VM VAUX PRP VM VAUX PSP NST QF NN NNP NN PSP NST VM SYM,NP NP VGF VGF NP2 VGNN VGNN VGNN VGNN NP3 NP3 NP4 NP4 NP4 NP4 VGF2 BLK,head child head child head head child child child child head child head child child head head
38,बच्चों को पेट भर रोटी नहीं मिलती थी ।,NN PSP NN RP NN NEG VM VAUX SYM,NP NP NP2 NP2 NP3 VGF VGF VGF BLK,head child head child head child head child head
39,गरीबी और तुम्हारी दगाबाजी से आहत बुढिया दम तोड़ दी ।,NN CC PRP NN PSP JJ NN NN VM VAUX SYM,NP CCP NP2 NP3 NP3 JJP NP4 NP5 VGF VGF BLK,head head head head child head head head head child head
40,देखो दरिद्र अधीरनरायन भईया आज सचमुच स्वर्ग का सुख भोग रहे हैं ।,INJ JJ NNP NN NN RB NN PSP NN VM VAUX VAUX SYM,BLK NP NP NP NP2 RBP NP3 NP3 NP4 VGF VGF VGF BLK2,head child child head head head head child head head child child head
41,तुम हक - हिस्सा हड़प कर बने धनवान नरक भोग रहे हो ।,PRP NNC SYM NN VM VAUX VM NN NN VM VAUX VAUX SYM,NP NP2 NP2 NP2 VGNF VGNF VGNF2 NP3 NP4 VGF VGF VGF BLK,head child child head head child head head head head child child head
42,भीखनरायन - बुढिया की जिद के आगे मेरी एक ना चली धूलीचन्द ।,NNP SYM NN PSP NN PSP NST PRP QC NEG VM NNP SYM,NP BLK NP2 NP2 NP3 NP3 NP3 NP4 NP5 VGF VGF NP6 BLK2,head head head child head child child head head child head head head
43,वह तो स्वर्ग सिधार गयी ।,PRP RP NN VM VAUX SYM,NP NP NP2 VGF VGF BLK,head child head head child head
44,मैं नरक का जीवन जी रहा हूं ।,PRP NN PSP NN VM VAUX VAUX SYM,NP NP2 NP2 NP3 VGF VGF VGF BLK,head head child head head child child head
45,सन्तोष के फल की महिमा समझ में आ गयी है ।,NN PSP NN PSP NN NN PSP VM VAUX VAUX SYM,NP NP NP2 NP2 NP3 NP4 NP4 VGF VGF VGF BLK,head child head child head head child head child child head
46,जमीन - जायदाद सबसे अधीरनरायन को बेदखल कर दिया ।,NNC SYM NN PRP NNP PSP JJ VM VAUX SYM,NP NP NP NP2 NP3 NP3 JJP VGF VGF BLK,child child head head head child head head child head
47,देखो वही भाई चैन की रोटी खा रहा है और मैं दर - दर की ठोकरें ।,INJ DEM NN NN PSP NN VM VAUX VAUX CC PRP NN SYM RDP PSP NN SYM,BLK NP NP NP2 NP2 NP3 VGF VGF VGF CCP NP4 NP5 NP5 NP5 NP5 NP6 BLK2,head child head head child head head child child head head head child child child head head
48,धूलीचन्द - भईया सच कहा गया है बोया बीज बबूल का तो आम कहां से खाय ।,NNP SYM NN NN VM VAUX VAUX VM NN NN PSP PRP NN WQ PSP VM SYM,NP BLK NP2 NP3 VGF VGF VGF VGF2 NP4 NP5 NP5 NP6 NP7 NP8 NP8 VGF3 BLK2,head head head head head child child head head head child head head head child head head
49,भीखनरायन - मुझे पछतावा है धूलीचन्द ।,NNP SYM PRP NN VM NNP SYM,NP BLK NP2 NP3 VGF NP4 BLK2,head head head head head head head
50,काश भाई - भतीजों के सपनों की बारात में आग नहीं लगाता तो मेरी ये दुर्गति नहीं होती ।,INJ NNC SYM NN PSP NN PSP NN PSP NN NEG VM CC PRP DEM NN NEG VM SYM,BLK NP NP NP NP NP2 NP2 NP3 NP3 NP4 VGF VGF CCP NP5 NP6 NP6 VGF2 VGF2 BLK2,head child child head child head child head child head child head head head child head child head head
51,धूलीचन्द - भईया अपना हिस्सा लेकर बेटी दमाद को देते तो किसी को तकलीफ नहीं होती ।,NNP SYM NN PRP NN VM NNC NN PSP VM CC PRP PSP NN NEG VM SYM,NP BLK NP2 NP3 NP4 VGNF NP5 NP5 NP5 VGF CCP NP6 NP6 NP7 VGF2 VGF2 BLK2,head head head head head head child head child head head head child head child head head
52,अब तो यह कानूनन अधिकार हो गया है पर भाई का हक हड़पकर अच्छा नहीं किया ।,PRP RP PRP RB NN VM VAUX VAUX CC NN PSP NN VM JJ NEG VM SYM,NP NP NP2 RBP NP3 VGF VGF VGF CCP NP4 NP4 NP5 VGNF JJP VGF2 VGF2 BLK,head child head head head head child child head head child head head head child head head
53,भीखनरायन - तभी तो नरक का दुख भोग रहा हूं ।,NNP SYM PRP RP NN PSP NN VM VAUX VAUX SYM,NP BLK NP2 NP2 NP3 NP3 NP4 VGF VGF VGF BLK2,head head head child head child head head child child head
54,काश बुढ़िया की जिद के आगे नहीं झुकता तो ये दुर्दिन नहीं देखना पड़ता ।,INJ NN PSP NN PSP NST NEG VM CC DEM NN NEG VM VAUX SYM,BLK NP NP NP2 NP2 NP2 VGF VGF CCP NP3 NP3 VGF2 VGF2 VGF2 BLK2,head head child head child child child head head child head child head child head
55,धूलचन्द - भईया तुमने गरीब जानकर अधीरनरायन भईया का हक खुली आंखों से लूटा था ।,NNP SYM NN PRP NN VM NNP NN PSP NN VM NN PSP VM VAUX SYM,NP BLK NP2 NP3 NP4 VGNF NP5 NP5 NP5 NP6 VGNF2 NP7 NP7 VGF VGF BLK2,head head head head head head child head child head head head child head child head
56,दूसरी ओर देखो तुम्हारा सौतेला दमाद जिस पर अधिक विश्वास था कि तुम्हें स्वर्ग का सुख देगा ।,QO NST VM PRP JJ NN PRP PSP QF NN VM CC PRP NN PSP NN VM SYM,NP NP VGF NP2 NP3 NP3 NP4 NP4 NP5 NP5 VGF2 CCP NP6 NP7 NP7 NP8 VGF3 BLK,child head head head child head head child child head head head head head child head head head
57,वही तुम्हारा अंगूठा काट कर चल - अचल सम्पति का मालिक बन बैठा ।,PRP PRP NN VM VAUX JJC SYM JJ NN PSP NN VM VAUX SYM,NP NP2 NP3 VGNF VGNF NP4 NP4 NP4 NP4 NP4 NP5 VGF VGF BLK,head head head head child child child child head child head head child head
58,तुम दीन - दरिद्र जैसे भटक रहे हो ।,PRP JJ SYM NN PSP VM VAUX VAUX SYM,NP NP2 NP2 NP2 NP2 VGF VGF VGF BLK,head child child head child head child child head
59,भईया पराया खून सगे का मुकाबला नहीं कर सकता ।,NN JJ NN NN PSP NN NEG VM VAUX SYM,NP NP2 NP2 NP3 NP3 NP4 VGF VGF VGF BLK,head child head head child head child head child head
60,भीखनरायन - समझ में आ गया है धूलीचन्द ।,NNP SYM NN PSP VM VAUX VAUX NNP SYM,NP BLK NP2 NP2 VGF VGF VGF NP3 BLK2,head head head child head child child head head
61,धूलीचन्द - क्या करेगा समझ में आकर ।,NNP SYM WQ VM NN PSP VM SYM,NP BLK NP2 VGF NP3 NP3 VGNF BLK2,head head head head head child head head
62,जब सहारा बनना था तब तो गरीब सगे भाई को मुसीबतों की खाई में ढकेल दिये ।,PRP NN VM VAUX PRP RP JJ JJ NN PSP NN PSP NN PSP VM VAUX SYM,NP NP2 VGF VGF NP3 NP3 NP4 NP4 NP4 NP4 NP5 NP5 NP6 NP6 VGF2 VGF2 BLK,head head head child head child child child head child head child head child head child head
63,अब तो तुम खुद लाचार हो ।,PRP RP PRP PRP JJ VM SYM,NP NP NP2 NP3 JJP VGF BLK,head child head head head head head
64,"सहारे की लाठी तुम्हारे अपने दमाद प्रभु , सी. आर. ओ. तहसील सदर ने छीन कर तुम्हें लखपति से सड़कपति बना दिया है ।",NN PSP NN PRP PRP NN NNP SYM NNC NNC NNC NNC NN PSP VM VAUX PRP NN PSP NN VM VAUX VAUX SYM,NP NP NP2 NP3 NP4 NP5 NP6 NP6 NP7 NP7 NP7 NP7 NP7 NP7 VGNF VGNF NP8 NP9 NP9 NP10 VGF VGF VGF BLK,head child head head head head head child child child child child head child head child head head child head head child child head
65,भीखनरायन - अंधे की लाठी तो छिन गयी है ।,NNP SYM NN PSP NN RP VM VAUX VAUX SYM,NP BLK NP2 NP2 NP3 NP3 VGF VGF VGF BLK2,head head head child head child head child child head
66,जीवन के इस सांध्य काल में खून का रिश्ता ही मेरी लाठी बनेगा ।,NN PSP DEM NNC NN PSP NN PSP NN RP PRP NN VM SYM,NP NP NP2 NP2 NP2 NP2 NP3 NP3 NP4 NP4 NP5 NP6 VGF BLK,head child child child head child head child head child head head head head
67,मुझे यकीन है ।,PRP NN VM SYM,NP NP2 VGF BLK,head head head head
68,धूलीचन्द - यकीन नहीं टूटा होता तो तुम्हारी लाठी में बहुत जोर होता भईया ।,NNP SYM NN NEG VM VAUX CC PRP NN PSP QF NN VM NN SYM,NP BLK NP2 VGF VGF VGF CCP NP3 NP4 NP4 NP5 NP5 VGF2 NP6 BLK2,head head head child head child head head head child child head head head head
69,खैर देर तो बहुत हो गयी है पर मुझे भी यकीन है तुम्हारे दोनों भतीजे तुम्हारे दुख को समझेंगे ।,INJ NN RP QF VM VAUX VAUX CC PRP RP NN VM PRP QC NN PRP NN PSP VM SYM,BLK NP NP JJP VGF VGF VGF CCP NP2 NP2 NP3 VGF2 NP4 NP5 NP5 NP6 NP7 NP7 VGF3 BLK2,head head child head head child child head head child head head head child head head head child head head
70,भीखनरायन की आंखों से तर - तर आंसू टपक रहे थे ।,NNP PSP NN PSP RB SYM RDP NN VM VAUX VAUX SYM,NP NP NP2 NP2 RBP RBP RBP NP3 VGF VGF VGF BLK,head child head child head child child head head child child head
71,धूलीचन्द समझाता जा रहा था ।,NNP VM VAUX VAUX VAUX SYM,NP VGF VGF VGF VGF BLK,head head child child child head
72,इसी बीच श्रीबाबू आ गया ।,DEM NST NNP VM VAUX SYM,NP NP NP2 VGF VGF BLK,child head head head child head
73,बूढे ताऊश्री की आंखों में आंसू देखकर उनके पैर के नीचे से जैसे जमीन खिसक गयी ।,JJ NN PSP NN PSP NN VM PRP NN PSP NST PSP RP NN VM VAUX SYM,NP NP NP NP2 NP2 NP3 VGNF NP4 NP5 NP5 NP5 NP5 NP6 NP6 VGF VGF BLK,child head child head child head head head head child child child child head head child head
74,वह ताऊश्री के आंसू पोंछते हुए बोला दादा कौन सी मुसीबत आ गयी ।,PRP NN PSP NN VM VAUX VM NN WQ RP NN VM VAUX SYM,NP NP2 NP2 NP3 VGNF VGNF VGF NP4 NP5 NP5 NP5 VGF2 VGF2 BLK,head head child head head child head head child child head head child head
75,भीखनरायन - बेटा मुझ अंधे की लाठी टूट गयी ।,NNP SYM NN DEM NN PSP NN VM VAUX SYM,NP BLK NP2 NP3 NP3 NP3 NP4 VGF VGF BLK2,head head head child head child head head child head
76,श्रीबाबू - दादा तुम्हारी लाठी कैसे टूट सकती है ?,NNP SYM NN PRP NN WQ VM VAUX VAUX SYM,NP BLK NP2 NP3 NP4 RBP VGF VGF VGF BLK2,head head head head head head head child child head
77,भीखनरायन - बेटा जिसके लिये तुम लोगों के साथ बेईमानी किया वही जीवन भर की कमाई छीन कर धकिया दिये ।,NNP SYM NN PRP PSP DEM NN PSP NST NN VM PRP NN RP PSP NN VM VAUX VM VAUX SYM,NP BLK NP2 NP3 NP3 NP4 NP4 NP4 NP4 NP5 VGF NP6 NP7 NP7 NP7 NP8 VGNF VGNF VGF2 VGF2 BLK2,head head head head child child head child child head head head head child child head head child head child head
78,अब तो मेरी हालत कुत्ते - बिल्ली जैसी हो गयी है ।,PRP RP PRP NN NNC SYM NN PSP VM VAUX VAUX SYM,NP NP NP2 NP3 NP4 NP4 NP4 NP4 VGF VGF VGF BLK,head child head head child child head child head child child head
79,रो - रोकर भीखनरायन आपबीती बताने लगे ।,VM SYM VAUX NNP NN VM VAUX SYM,VGNF VGNF VGNF NP NP2 VGF VGF BLK,head child child head head head child head
80,श्रीबाबू - दादा हम तुम्हारी लाठी हैं ।,NNP SYM NN PRP PRP NN VM SYM,NP BLK NP2 NP3 NP4 NP5 VGF BLK2,head head head head head head head head
81,ऐसा नहीं है कि जो बेईमानी तुमने बेटी दमाद के मोह में पड़कर की है भूल गये हैं ।,PRP NEG VM CC DEM NN PRP NNC NN PSP NN PSP VM VM VAUX VM VAUX VAUX SYM,NP VGF VGF CCP NP2 NP2 NP3 NP4 NP4 NP4 NP5 NP5 VGNF VGF2 VGF2 VGF3 VGF3 VGF3 BLK,head child head head child head head child head child head child head head child head child child head
82,याद है दादा हम दोनों भाई पानी पीकर स्कूल जाते थे ।,NN VM NN DEM QC NN NN VM NN VM VAUX SYM,NP VGF NP2 NP3 NP3 NP3 NP4 VGNF NP5 VGF2 VGF2 BLK,head head head child child head head head head head child head
83,मेरे मां - बाप का श्रम हमारी ताकत रहा है ।,PRP NNC SYM NN PSP NN PRP NN VM VAUX SYM,NP NP2 NP2 NP2 NP2 NP3 NP4 NP5 VGF VGF BLK,head child child head child head head head head child head
84,उन्ही के श्रम का नतीजा है कि हम दोनों भाई दो जून की रोटी इज्जत से कमा खा रहे हैं ।,PRP PSP NN PSP NN VM CC DEM QC NN QC NN PSP NN NN PSP VM VM VAUX VAUX SYM,NP NP NP2 NP2 NP3 VGF CCP NP4 NP4 NP4 NP5 NP5 NP5 NP6 NP7 NP7 VGNF VGF2 VGF2 VGF2 BLK,head child head child head head head child child head child head child head head child head head child child head
85,हमारे बाप जो झोपड़ी में दिन काटा करते थे देखो पक्की बैठक में बैठे हैं ।,PRP NN PRP NN PSP NN VM VAUX VAUX VM JJ NN PSP VM VAUX SYM,NP NP2 NP3 NP4 NP4 NP5 VGF VGF VGF VGF2 NP6 NP6 NP6 VGF3 VGF3 BLK,head head head head child head head child child head child head child head child head
86,तुम हक छीन कर ससुराल जा बसे ।,PRP NN VM VAUX NN VM VM SYM,NP NP2 VGNF VGNF NP3 VGNF2 VGF BLK,head head head child head head head head
87,दादा तुम आज अपने हाल और हमारे बाप की तुलना तो करो ।,NN PRP NN PRP NN CC PRP NN PSP NN RP VM SYM,NP NP2 NP3 NP4 NP5 CCP NP6 NP7 NP7 NP8 NP8 VGF BLK,head head head head head head head head child head child head head
88,देखो जो लोग गरीब जानकर दुत्कार दिया करते थे ।,INJ DEM NN NN VM VM VAUX VAUX VAUX SYM,BLK NP NP NP2 VGNF VGF VGF VGF VGF BLK2,head child head head head head child child child head
89,वही सलाम ठोंकते हैं ।,PRP NN VM VAUX SYM,NP NP2 VGF VGF BLK,head head head child head
90,हम तो कभी भी तुम्हारे धन के भूखे नहीं थे ।,PRP RP PRP RP PRP NN PSP NN NEG VM SYM,NP NP NP2 NP2 NP3 NP4 NP4 NP5 VGF VGF BLK,head child head child head head child head child head head
91,सब समय का दोष है तुम्हारा नहीं ।,PRP NN PSP NN VM PRP NEG SYM,NP NP2 NP2 NP3 VGF NP4 NEGP BLK,head head child head head head head head
92,"भीखनरायन - बेटा मैं शर्मिन्दा हूं तो उसकी वजह है तुम्हारी बड़ी ताई , हमारी घरवाली जो बेटी दमाद के मोह में मुझसे अनर्थ करवायी और खुद मुझसे पहले ऊपर पहुंच गयी मैं रह गया नरक भोगने को ।",NNP SYM NN PRP JJ VM CC PRP NN VM PRP JJ NN SYM PRP NN PRP NNC NN PSP NN PSP PRP NN VM CC PRP PRP NST NST VM VAUX PRP VM VAUX NN VM PSP SYM,NP BLK NP2 NP3 JJP VGF CCP NP4 NP5 VGF2 NP6 NP7 NP7 NP7 NP8 NP9 NP10 NP11 NP11 NP11 NP12 NP12 NP13 NP14 VGF3 CCP2 NP15 NP16 NP16 NP17 VGF4 VGF4 NP18 VGF5 VGF5 NP19 VGNN VGNN BLK2,head head head head head head head head head head head child head child head head head child head child head child head head head head head head child head head child head head child head head child head
93,श्रीबाबू - दादा खुद को ना कोसो ।,NNP SYM NN PRP PSP NEG VM SYM,NP BLK NP2 NP3 NP3 VGF VGF BLK2,head head head head child child head head
94,बड़े - बड़े राजाओं ने भी सन्तान के मोह में ऐसा किया है ।,JJ SYM RDP NN PSP RP NN PSP NN PSP PRP VM VAUX SYM,NP NP NP NP NP NP NP2 NP2 NP3 NP3 NP4 VGF VGF BLK,child child child head child child head child head child head head child head
95,श्रीबाबू दादा भीखनरायन से चर्चारत् था ।,NNP NN NNP PSP JJ VM SYM,NP NP2 NP3 NP3 JJP VGF BLK,head head head child head head head
96,इसी बीच श्रीधर भी सप्ताह भर बाद आ गया ।,DEM NST NNP RP NN RP NST VM VAUX SYM,NP NP NP2 NP2 NP3 NP3 NP3 VGF VGF BLK,child head head child head child child head child head
97,25 साल की लम्बी अवधि के बाद दादा भीखनरायन को अपने दरवाजे बैठा देखकर चकित रह गया ।,QC NN PSP JJ NN PSP NST NN NNP PSP PRP NN VM VM JJ VM VAUX SYM,NP NP NP NP2 NP2 NP2 NP2 NP3 NP4 NP4 NP5 NP6 VGNF VGNF2 JJP VGF VGF BLK,child head child child head child child head head child head head head head head head child head
98,वह गाड़ी खड़ी कर भागते हुए आया और भीखनरायन का चरण स्पर्श करते हुए बोला दादा सब ठीक तो है ना ।,PRP NN JJ VM VM VAUX VM CC NNP PSP NNC NN VM VAUX VM NN PRP JJ RP VM RP SYM,NP NP2 JJP VGNF VGNF2 VGNF2 VGF CCP NP3 NP3 NP4 NP4 VGNF3 VGNF3 VGF2 NP5 NP6 JJP2 JJP2 VGF3 VGF3 BLK,head head head head head child head head head child child head head child head head head head child head child head
99,इतना सुनते ही भीखनरायन आंसू पोंछते हुये बोले बेटा कुछ भी ठीक नहीं है ।,QF VM RP NNP NN VM VAUX VM NN PRP RP JJ NEG VM SYM,NP VGNF VGNF NP2 NP3 VGNF2 VGNF2 VGF NP4 NP5 NP5 JJP VGF2 VGF2 BLK,head head child head head head child head head head child head child head head
100,ठीक होता तो यहां आता ?,JJ VM CC PRP VM SYM,JJP VGF CCP NP VGF2 BLK,head head head head head head
101,श्रीधर - दादा क्या कह रहे हो ?,NNP SYM NN WQ VM VAUX VAUX SYM,NP BLK NP2 NP3 VGF VGF VGF BLK2,head head head head head child child head
102,धूलीचन्द - अंधे की लाठी टूट गयी ।,NNP SYM NN PSP NN VM VAUX SYM,NP BLK NP2 NP2 NP3 VGF VGF BLK2,head head head child head head child head
103,श्रीधर - मतलब ?,NNP SYM NN SYM,NP BLK NP2 BLK2,head head head head
104,धूलीचन्द - धोखा ।,NNP SYM NN SYM,NP BLK NP2 BLK2,head head head head
105,श्रीधर - कौन है धोखेबाज ।,NNP SYM WQ VM JJ SYM,NP BLK NP2 VGF JJP BLK2,head head head head head head
106,श्रीधर - क्या हुआ दादा ?,NNP SYM WQ VM NN SYM,NP BLK NP2 VGF NP3 BLK2,head head head head head head
107,भीखनरायन - कमाई और बेईमान की सब दौलत लुट गयी ।,NNP SYM NN CC NN PSP QF NN VM VAUX SYM,NP BLK NP2 CCP NP3 NP3 NP4 NP4 VGF VGF BLK2,head head head head head child child head head child head
108,श्रीबाबू - दादा ये तो होना ही था ।,NNP SYM NN PRP RP VM RP VAUX SYM,NP BLK NP2 NP3 NP3 VGF VGF VGF BLK2,head head head head child head child child head
109,किसी की लुट जाती है किसी की छुट जाती है पर तुम्हारे लुटेरे को सजा दिलवा कर रहूंगा ।,PRP PSP VM VAUX VAUX PRP PSP VM VAUX VAUX CC PRP NN PSP NN VM VAUX VAUX SYM,NP NP VGF VGF VGF NP2 NP2 VGF2 VGF2 VGF2 CCP NP3 NP4 NP4 NP5 VGF3 VGF3 VGF3 BLK,head child head child child head child head child child head head head child head head child child head
110,श्रीधर - भाई श्रीबाबू सजा देना कचहरी का काम है ।,NNP SYM NN NNP NN VM NN PSP NN VM SYM,NP BLK NP2 NP2 NP3 VGNN NP4 NP4 NP5 VGF BLK2,head head child head head head head child head head head
